Year,Day,hh,mm,ss,mss,ns,Range (km)
2016,240,17,14,44,751,0,939.15113958
2016,240,17,14,45,751,0,942.04518607
2016,240,17,14,46,751,0,944.98465112
2016,240,17,14,47,751,0,947.9668366
2016,240,17,14,48,751,0,950.99294167
2016,240,17,14,49,751,0,954.06236675
2016,240,17,14,50,751,0,957.17406257
2016,240,17,14,51,751,0,960.32787923
2016,240,17,14,52,751,0,963.52351693
2016,240,17,14,53,751,0,966.76082579
2016,240,17,14,54,751,0,970.03920622
2016,240,17,14,55,751,0,973.35760893
2016,240,17,14,56,751,0,976.71633374
2016,240,17,14,57,751,0,980.11613011
2016,240,17,14,58,751,0,983.55564898
2016,240,17,14,59,751,0,987.03324149
2016,240,17,15,0,751,0,990.54995692
2016,240,17,15,1,751,0,994.10489589
2016,240,17,15,2,751,0,997.69880787
2016,240,17,15,3,751,0,1001.32944443
2016,240,17,15,4,751,0,1004.99605609
2016,240,17,15,5,751,0,1008.69894264
2016,240,17,15,6,751,0,1012.43810407
2016,240,17,15,7,751,0,1016.21354039
2016,240,17,15,8,751,0,1020.02405243
2016,240,17,15,9,751,0,1023.8690406
2016,240,17,15,10,751,0,1027.74775542
2016,240,17,15,11,751,0,1031.66109627
2016,240,17,15,12,751,0,1035.60861346
2016,240,17,15,13,751,0,1039.58910782
2016,240,17,15,14,751,0,1043.60272925
2016,240,17,15,15,751,0,1047.64947774
2016,240,17,15,16,751,0,1051.72740465
2016,240,17,15,17,751,0,1055.83725946
2016,240,17,15,18,751,0,1059.97829268
2016,240,17,15,19,751,0,1064.1511039
2016,240,17,15,20,751,0,1068.35374448
2016,240,17,15,21,751,0,1072.58741357
2016,240,17,15,22,751,0,1076.85061222
2016,240,17,15,23,751,0,1081.14334042
2016,240,17,15,24,751,0,1085.46484871
2016,240,17,15,25,751,0,1089.81513706
2016,240,17,15,26,751,0,1094.19450529
2016,240,17,15,27,751,0,1098.60190411
2016,240,17,15,28,751,0,1103.03718363
2016,240,17,15,29,751,0,1107.49944447
2016,240,17,15,30,751,0,1111.98928622
2016,240,17,15,31,751,0,1116.5058095
2016,240,17,15,32,751,0,1121.04871451
2016,240,17,15,33,751,0,1125.61830105
2016,240,17,15,34,751,0,1130.21366974
2016,240,17,15,35,751,0,1134.83467069
2016,240,17,15,36,751,0,1139.48040452
2016,240,17,15,37,751,0,1144.15087122
2016,240,17,15,38,751,0,1148.8462207
2016,240,17,15,39,751,0,1153.56615315
2016,240,17,15,40,751,0,1158.30976922
2016,240,17,15,41,751,0,1163.07721878
2016,240,17,15,42,751,0,1167.86745257
2016,240,17,15,43,751,0,1172.68107017
2016,240,17,15,44,751,0,1177.51717221
2016,240,17,15,45,751,0,1182.37635826
2016,240,17,15,46,751,0,1187.25817865
2016,240,17,15,47,751,0,1192.1612843
2016,240,17,15,48,751,0,1197.0861249
2016,240,17,15,49,751,0,1202.03210088
2016,240,17,15,50,751,0,1206.99921222
2016,240,17,15,51,751,0,1211.98715913
2016,240,17,15,52,751,0,1216.99609152
2016,240,17,15,53,751,0,1222.0252599
2016,240,17,15,54,751,0,1227.07481417
2016,240,17,15,55,751,0,1232.14415474
2016,240,17,15,56,751,0,1237.2335814
2016,240,17,15,57,751,0,1242.34324405
2016,240,17,15,58,751,0,1247.47119405
2016,240,17,15,59,751,0,1252.61788107
2016,240,17,16,0,751,0,1257.78315523
2016,240,17,16,1,751,0,1262.96881527
2016,240,17,16,2,751,0,1268.17216306
2016,240,17,16,3,751,0,1273.39229924
2016,240,17,16,4,751,0,1278.63012317
2016,240,17,16,5,751,0,1283.88473548
2016,240,17,16,6,751,0,1289.15733533
2016,240,17,16,7,751,0,1294.44672356
2016,240,17,16,8,751,0,1299.75349976
2016,240,17,16,9,751,0,1305.07676454
2016,240,17,16,10,751,0,1310.41651791
