BkNo	Year	Day	hh	mm	ss	mss	ns	RangeRate(km/s)		Tv	Dv	TSn	RSn	DTp	STp	SId	BkCt	SRt	InTim
19	2016	240	17	8	14	700	0	-6.56497849	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	15	700	0	-6.56336775	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	16	700	0	-6.56175747	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	17	700	0	-6.56007897	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	18	700	0	-6.55842552	0	0	0	f8	f0	8	4	3	13	1	1
19	2016	240	17	8	19	700	0	-6.55675382	0	0	0	f8	f0	8	4	3	13	1	1
20	2016	240	17	8	20	700	0	-6.55502908	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	21	700	0	-6.55330635	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	22	700	0	-6.55154831	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	23	700	0	-6.54978348	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	24	700	0	-6.54797748	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	25	700	0	-6.54617827	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	26	700	0	-6.54434994	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	27	700	0	-6.54248205	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	28	700	0	-6.54058765	0	0	0	f8	f0	8	4	3	14	1	1
20	2016	240	17	8	29	700	0	-6.53867805	0	0	0	f8	f0	8	4	3	14	1	1
21	2016	240	17	8	30	700	0	-6.53677166	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	31	700	0	-6.53482469	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	32	700	0	-6.53284594	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	33	700	0	-6.53083802	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	34	700	0	-6.52882437	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	35	700	0	-6.52677694	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	36	700	0	-6.52470194	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	37	700	0	-6.52261021	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	38	700	0	-6.52049976	0	0	0	f8	f0	8	4	3	15	1	1
21	2016	240	17	8	39	700	0	-6.51834095	0	0	0	f8	f0	8	4	3	15	1	1
22	2016	240	17	8	40	700	0	-6.51618474	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	41	700	0	-6.51398742	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	42	700	0	-6.51176039	0	0	0	f8	f0	8	4	3	16	1	1
22	2016	240	17	8	43	700	0	-6.50951411	0	0	0	f8	f0	8	4	3	16	1	1
