BkNo,Year,Day,hh,mm,ss,mss,RANGE,Azimuth,Elev,range rate,Az rate,El rate
2016,2016,240,17,11,55,751,1186.457583,149.68,39.87,-4.88772615,-0.13,0.25
2016,2016,240,17,11,56,751,1181.581608,149.55,40.12,-4.86562084,-0.13,0.27
2016,2016,240,17,11,57,751,1176.727519,149.42,40.39,-4.84321361,-0.14,0.25
2016,2016,240,17,11,58,751,1171.896513,149.28,40.64,-4.82053371,-0.15,0.26
2016,2016,240,17,11,59,751,1167.087692,149.13,40.9,-4.79757694,-0.16,0.26
2016,2016,240,17,12,0,751,1162.302255,148.97,41.16,-4.77432712,-0.16,0.26
2016,2016,240,17,12,1,751,1157.540802,148.81,41.42,-4.75075925,-0.16,0.27
2016,2016,240,17,12,2,751,1152.802582,148.65,41.69,-4.72691298,-0.16,0.27
2016,2016,240,17,12,3,751,1148.088645,148.49,41.96,-4.70276325,-0.15,0.27
2016,2016,240,17,12,4,751,1143.397942,148.34,42.23,-4.67830389,-0.17,0.27
2016,2016,240,17,12,5,751,1138.732722,148.17,42.5,-4.65356345,-0.17,0.27
2016,2016,240,17,12,6,751,1134.092235,148,42.77,-4.62847953,-0.15,0.27
2016,2016,240,17,12,7,751,1129.47693,147.85,43.04,-4.60310148,-0.18,0.27
2016,2016,240,17,12,8,751,1124.887257,147.67,43.31,-4.5773826,-0.17,0.28
2016,2016,240,17,12,9,751,1120.323517,147.5,43.59,-4.5513774,-0.18,0.27
2016,2016,240,17,12,10,751,1115.785858,147.32,43.86,-4.52502045,-0.18,0.29
2016,2016,240,17,12,11,751,1111.274881,147.14,44.15,-4.49835171,-0.17,0.27
2016,2016,240,17,12,12,751,1106.790735,146.97,44.42,-4.47134308,-0.2,0.29
2016,2016,240,17,12,13,751,1102.333421,146.77,44.71,-4.44399403,-0.19,0.3
2016,2016,240,17,12,14,751,1097.904137,146.58,45.01,-4.41632547,-0.2,0.29
2016,2016,240,17,12,15,751,1093.502434,146.38,45.3,-4.3882957,-0.19,0.3
2016,2016,240,17,12,16,751,1089.129512,146.19,45.6,-4.3599331,-0.21,0.28
2016,2016,240,17,12,17,751,1084.78462,145.98,45.88,-4.33121215,-0.2,0.29
2016,2016,240,17,12,18,751,1080.468508,145.78,46.17,-4.30216876,-0.2,0.28
2016,2016,240,17,12,19,751,1076.182075,145.58,46.45,-4.27271632,-0.21,0.29
2016,2016,240,17,12,20,751,1071.925022,145.37,46.74,-4.2429617,-0.23,0.3
2016,2016,240,17,12,21,751,1067.697799,145.14,47.04,-4.21283421,-0.23,0.31
2016,2016,240,17,12,22,751,1063.500704,144.91,47.35,-4.18232025,-0.21,0.29
2016,2016,240,17,12,23,751,1059.334788,144.7,47.64,-4.15146121,-0.23,0.31
2016,2016,240,17,12,24,751,1055.199751,144.47,47.95,-4.12022096,-0.23,0.3
2016,2016,240,17,12,25,751,1051.096192,144.24,48.25,-4.08861584,-0.24,0.33
2016,2016,240,17,12,26,751,1047.024261,144,48.58,-4.0566188,-0.23,0.3
2016,2016,240,17,12,27,751,1042.984557,143.77,48.88,-4.02425954,-0.25,0.29
2016,2016,240,17,12,28,751,1038.977531,143.52,49.17,-3.99151042,-0.24,0.3
2016,2016,240,17,12,29,751,1035.003033,143.28,49.47,-3.95838476,-0.26,0.31
2016,2016,240,17,12,30,751,1031.062111,143.02,49.78,-3.92486745,-0.29,0.35
2016,2016,240,17,12,31,751,1027.155066,142.73,50.13,-3.890978,-0.28,0.32
2016,2016,240,17,12,32,751,1023.282197,142.45,50.45,-3.85666644,-0.27,0.33
2016,2016,240,17,12,33,751,1019.443354,142.18,50.78,-3.82196761,-0.28,0.33
2016,2016,240,17,12,34,751,1015.639588,141.9,51.11,-3.78689359,-0.27,0.28
2016,2016,240,17,12,35,751,1011.871346,141.63,51.39,-3.75140212,-0.28,0.32
2016,2016,240,17,12,36,751,1008.13893,141.35,51.71,-3.71551585,-0.33,0.34
2016,2016,240,17,12,37,751,1004.442339,141.02,52.05,-3.67922161,-0.31,0.34
2016,2016,240,17,12,38,751,1000.782173,140.71,52.39,-3.64252105,-0.32,0.32
